#OTU ID	PFF_Cecum_11	PFF_Cecum_12	PFF_Cecum_13	PFF_Cecum_14	PFF_Cecum_15	PFF_Cecum_16	PFF_Cecum_17	PFF_Cecum_18	PFF_Cecum_19	PFF_Cecum_1904	PFF_Cecum_1906	PFF_Cecum_1907	PFF_Cecum_1908	PFF_Cecum_1910	PFF_Cecum_1913	PFF_Cecum_1914	PFF_Cecum_1917	PFF_Cecum_1920	PFF_Cecum_1921	PFF_Cecum_1937	PFF_Cecum_1938	PFF_Cecum_1941	PFF_Cecum_1942	PFF_Cecum_1943	PFF_Cecum_1944	PFF_Cecum_1945	PFF_Cecum_21	PFF_Cecum_25	PFF_Cecum_27	PFF_Cecum_28	PFF_Cecum_30	PFF_Cecum_32	PFF_Cecum_35	PFF_Cecum_36	PFF_Cecum_37	PFF_Colon_11	PFF_Colon_12	PFF_Colon_13	PFF_Colon_14	PFF_Colon_15	PFF_Colon_16	PFF_Colon_17	PFF_Colon_18	PFF_Colon_19	PFF_Colon_1904	PFF_Colon_1906	PFF_Colon_1907	PFF_Colon_1908	PFF_Colon_1910	PFF_Colon_1913	PFF_Colon_1914	PFF_Colon_1917	PFF_Colon_1920	PFF_Colon_1921	PFF_Colon_1937	PFF_Colon_1938	PFF_Colon_1941	PFF_Colon_1942	PFF_Colon_1943	PFF_Colon_1944	PFF_Colon_1945	PFF_Colon_1946	PFF_Colon_21	PFF_Colon_25	PFF_Colon_27	PFF_Colon_28	PFF_Colon_30	PFF_Colon_32	PFF_Colon_35	PFF_Colon_36	PFF_Colon_37	PFF_Jejunum_11	PFF_Jejunum_12	PFF_Jejunum_13	PFF_Jejunum_14	PFF_Jejunum_15	PFF_Jejunum_16	PFF_Jejunum_17	PFF_Jejunum_18	PFF_Jejunum_19	PFF_Jejunum_1904	PFF_Jejunum_1906	PFF_Jejunum_1908	PFF_Jejunum_1910	PFF_Jejunum_1913	PFF_Jejunum_1914	PFF_Jejunum_1917	PFF_Jejunum_1920	PFF_Jejunum_1921	PFF_Jejunum_1937	PFF_Jejunum_1938	PFF_Jejunum_1942	PFF_Jejunum_1943	PFF_Jejunum_1944	PFF_Jejunum_1945	PFF_Jejunum_1946	PFF_Jejunum_21	PFF_Jejunum_25	PFF_Jejunum_27	PFF_Jejunum_28	PFF_Jejunum_30	PFF_Jejunum_32	PFF_Jejunum_35	PFF_Jejunum_36	PFF_Jejunum_37	PFF_Baseline_11	PFF_Baseline_12	PFF_Baseline_13	PFF_Baseline_14	PFF_Baseline_15	PFF_Baseline_16	PFF_Baseline_17	PFF_Baseline_18	PFF_Baseline_19	PFF_Baseline_1921	PFF_Baseline_1937	PFF_Baseline_1942	PFF_Baseline_1943	PFF_Baseline_1944	PFF_Baseline_1946	PFF_Baseline_25	PFF_Baseline_26	PFF_Baseline_27	PFF_Baseline_28	PFF_Baseline_30	PFF_Baseline_32	PFF_Baseline_35	PFF_Baseline_36	PFF_Baseline_37	taxonomy
1CMET2-PWY	21603.2532	22676.5007	18984.8591	25266.8885	23050.9539	19459.8128	40842.1021	61130.1626	19484.2664	16521.7301	25763.2761	18757.9823	15854.984	20168.5339	19431.6541	18382.7377	15820.5029	24985.0056	22628.9439	23013.2926	15849.0064	16735.9762	16261.2082	15221.6757	18497.5036	17628.4271	26712.1781	21028.7908	30822.4741	27399.8839	21225.4499	14976.4566	19679.893	23087.348	26724.0753	21176.1823	26006.7364	15895.1396	17490.7236	18460.1465	20444.4511	15479.9944	18127.16	16831.5593	21260.9676	18553.142	13063.8276	13723.6947	20989.8368	9881.4712	13903.3101	14591.3512	13111.6984	17864.0486	11706.0442	12181.3112	21272.6217	13634.6678	18713.0444	16050.1286	10574.737	14482.7601	17114.8713	15869.2142	24234.8556	19046.4994	9540.73	13623.4429	18726.0596	27795.9579	20215.5268	15802.0642	11734.4879	23911.3964	20930.3112	8338.0315	33045.3566	20334.8494	9230.1135	13944.6621	21533.7809	15184.3756	14660.2631	19982.7552	17325.8719	11362.8505	16160.1426	25236.3796	30649.0205	18978.9628	13809.783	19136.9033	18254.9707	11355.7514	19913.742	12796.3975	14071.1952	14490.8325	17382.3208	22461.8764	18718.5447	17124.3521	17162.2547	35480.8105	18773.7911	23035.8542	13006.0144	12846.2237	12991.7805	14802.6255	12400.4828	10287.0557	15578.7882	13334.9112	15490.3716	23351.0683	14262.7884	15419.5373	20200.1659	17945.5849	8448.2647	15812.303	15969.567	13067.6073	16272.1183	22171.0675	17873.8162	18294.4727	11307.3526	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0	0	0	0	0	0	0	11.9708	0	0	0	0	0	0	0	1.738	0	2.4952	0	0	0	0	0	0	1.1677	0	0	2.6979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8941	0	0	0	0	0	0	0	3.2003	0	2.7771	14.4516	0	0	0	0	0	0	0	4.9229	0	4.9996	0	0	0	0	0	19.1661	0	1.6678	0	0	0	0	0	0	19.6229	1.1964	0	29.3511	0	0	0	0	0	0	15.4435	0	0	8.8233	0	0	0	21.1448	1.0025	4.0053	0	0	0	0	0.665	20.3923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4056	0	0	0	0	0	0	0	0	
AEROBACTINSYN-PWY	0	0	0	0	0	0	0	6.86	0	0	0	0	0	0	0	1	0	1.43	0	0	0	0	0	0	0.67	0	0	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14	0	0	0	0	0	0	0	1.86	0	2	6.1048	0	0	0	0	0	0	0	3.86	0	3.71	0	0	0	0	0	11	0	1.43	0	0	0	0	0	0	10.86	0.86	0	1.86	0	0	0	0	0	0	12.71	0	0	7.57	0	0	0	18.1552	0.86	2.57	0	0	0	0	0.57	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	
ALL-CHORISMATE-PWY	0	0	0	0	0	0	0	50.0602	0	0	0	0	0	0	0	16.6298	0	23.3411	0	0	0	0	0	0	4.9682	0	0	10.4081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.3728	0	0	0	0	0	0	0	30.7978	0	28.8586	191.4221	0	0	0	0	0	0	0	48.8847	0	32.3977	0	0	0	0	0	79.1005	0	33.9453	0	0	0	0	0	0	100.1098	13.686	0	74.7943	0	0	0	0	0	0	86.0264	0	0	53.0495	0	0	0	184.3939	6.3103	22.2381	0	4.3618	0	0	8.357	68.6638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5415	0	0	0	0	0	0	0	0	
ANAEROFRUCAT-PWY	20950.9792	20520.5931	18168.9862	30831.589	22111.0898	24304.9129	48371.4283	81629.0611	26676.0112	21330.0285	27037.3581	22330.8779	20518.0344	24539.9267	25087.4681	20922.71	18595.0625	30970.3453	27030.1292	26237.8847	15015.4314	20895.6986	21118.0323	19592.2221	21070.9631	22844.4221	33164.5726	26599.3493	38834.5754	30650.1756	23779.5988	16218.3883	22442.7445	25512.1882	31801.5923	27304.4977	30735.5122	19143.739	24052.4599	18909.0534	29761.8428	19554.6042	24953.014	22332.2786	30029.649	21948.4645	17217.0801	18113.2446	24197.8855	14710.6957	17526.2092	18534.8554	15487.0938	22108.8444	14318.4681	14023.9454	27492.2311	18158.9211	23621.1638	18785.3791	14422.4266	17183.0223	21795.6177	21557.4549	29470.0692	25548.4727	12554.7719	17980.9965	22117.2569	29644.6431	26430.6935	22690.6221	37338.0054	46310.1433	35666.1751	22382.2895	62153.4588	14485.6138	11819.6045	26998.6168	34688.8128	18456.3263	31242.3737	17803.1114	31699.5592	16511.6236	26329.579	12388.6713	5964.4251	19501.5802	15655.0831	42267.0327	31718.8841	27370.4893	31558.3901	17916.0404	28316.0476	23901.6805	50319.7661	32492.8409	37800.4765	25226.0864	21789.9254	46834.8092	35527.452	27889.7898	16255.0133	15405.0435	13989.8069	18394.2122	14840.151	13018.7902	19854.6482	17460.008	18977.5595	27445.1666	18735.0105	19037.2722	24658.9552	22146.1212	10165.0846	19408.3305	19512.4102	16647.1341	17376.2977	27167.8599	20818.1502	22578.3164	14064.1647	
ANAGLYCOLYSIS-PWY	27862.2584	28572.116	24363.5661	34076.6027	29370.4125	26585.1294	55466.7716	96667.9391	36864.162	23359.9297	33746.3167	25404.2989	22556.0955	27367.6834	27605.0054	24307.3284	21169.7676	35405.8806	30279.5112	30652.077	20309.7788	23694.6643	24548.3326	21477.4012	24518.5763	25163.7409	38030.2036	31868.789	44140.8207	36101.2226	27812.9271	20172.7124	27252.8732	31605.7382	35344.7198	32084.4784	34897.9919	21184.429	33098.6909	23419.7922	38357.2509	22968.4168	33714.8224	28759.3438	33623.9846	24240.6808	19458.7276	21055.4233	32727.6268	20108.4618	19960.8006	20450.8912	22808.2853	24659.719	18175.3528	15815.0246	33864.8691	23648.201	28533.9143	21511.1881	18229.2467	19172.098	26459.0974	29970.3871	33190.5141	35010.2965	15701.8654	20968.2084	25210.2191	38870.8891	31080.7639	24893.0082	49786.8594	42945.4056	32627.7554	56420.667	57205.4046	38172.8997	52925.9614	39780.2182	43403.9695	59971.7682	45909.6772	34141.5349	33897.2323	40486.6479	27081.2964	46071.7717	44473.4589	45911.9241	17507.2617	42438.6274	29701.8285	44245.528	31752.6647	23023.7918	29318.6658	43814.1246	55702.8188	32295.2341	39368.6268	28563.6049	39021.2825	51994.3857	47961.6234	30604.8449	18272.3673	16475.3099	15923.4478	20839.014	15920.6954	15437.7826	21893.032	18287.2462	20379.1619	30023.9971	19744.0425	25196.7946	27060.9116	23679.8042	10898.0934	21082.8733	21291.3981	18645.5563	20110.6767	29251.5727	22940.1666	24091.3007	15479.8926	
ARG+POLYAMINE-SYN	2113.2618	1116.5312	1315.4582	1803.021	1934.0059	2935.0779	5091.112	5256.3882	2015.4029	1824.1509	2179.7192	1765.913	1199.2598	1199.8577	1637.4216	2301.0578	1877.3304	3316.6164	2024.127	2502.2479	2053.3588	1678.1027	1039.6807	848.3453	2557.3629	1949.5072	2159.3094	1977.4743	3525.8764	3069.6153	1741.6119	2594.0285	2087.1903	1499.0953	1490.6373	2340.0579	1518.3091	951.8087	940.8649	1776.9459	5533.9413	1947.4874	1094.5261	1717.1195	1887.1577	2580.6729	845.6693	1145.2098	840.9206	1191.5165	2243.1504	1480.7834	646.0487	1984.6622	1577.391	1923.4534	1787.4176	820.4391	1315.8416	1833.251	944.9054	685.4705	1316.0469	1218.9007	3095.9686	1926.5367	331.1078	2416.8518	2412.1454	2886.0101	869.0429	274.6336	92.8868	1109.9659	992.278	67.2452	341.7653	273.0483	61.423	674.8348	2443.6751	516.1832	542.9535	0	1849.5916	45.1421	221.0544	15.8807	148.5409	62.3601	1296.7041	687.0468	397.7887	126.0801	428.837	1157.3912	219.7177	202.4873	123.9468	661.8369	161.1213	995.3319	33.061	1630.128	100.3808	3577.2553	1767.329	1853.3687	1851.8576	1248.6887	1842.2716	434.0131	1481.6254	1431.0477	616.0584	3315.2714	1184.4426	1294.7836	1651.6123	824.8877	584.9764	1397.4042	2667.7172	1223.9835	1234.9107	3345.9551	1784.5834	1612.3705	1521.2477	
ARGDEG-PWY	0	0	0	0	0	0	0	15.984	0	0	0	0	0	0	0	2.3213	0	3.3352	0	0	0	0	0	0	1.5599	0	0	3.6477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9469	0	0	0	0	0	0	0	4.3078	0	4.6609	10.9702	0	0	0	0	0	0	0	8.8436	0	8.5209	0	0	0	0	0	30.6038	0	4.8756	0	0	0	0	0	0	28.8546	2.0057	0	5.0825	0	0	0	0	0	0	28.1082	0	0	17.6128	0	0	0	33.0962	2.0029	6.1953	0	1.0031	0	0	1.3295	33.4512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6763	0	0	0	0	0	0	0	0	
ARGORNPROST-PWY	2937.4796	1052.0961	1774.1864	1977.2282	2563.7052	2134.6469	4149.8229	6346.572	1420.9335	1253.7523	2923.9241	1442.4463	729.3935	1415.0324	2230.5701	2643.8945	1955.8293	1943.1116	4166.2771	3236.4905	2017.0004	1119.5353	1319.4253	1641.0847	2345.0728	2359.1372	1765.4713	746.1042	3231.0039	3564.7512	2070.816	1939.8761	2290.022	2234.961	2784.5736	2034.9341	1265.2964	1231.1575	1012.9582	2602.953	2598.4427	1319.5787	1971.8864	1279.1113	1206.2157	2125.6466	472.3959	626.6498	1945.8683	578.7596	1881.1491	1622.9335	715.7148	2121.8211	1044.9544	916.1606	1144.4074	805.8899	1450.3384	1638.5523	952.8083	1601.7071	916.9181	592.0752	2510.5029	2319.1535	902.2648	1211.0912	2150.665	4219.0848	1902.0575	1190.6554	52.1549	475.7263	1286.138	48.8373	1028.3152	192.8476	141.8764	406.3426	788.5471	646.0272	328.7549	404.9719	745.1408	127.6604	613.5362	58.0543	451.6157	88.3067	108.7232	384.9224	543.6153	32.8075	489.3527	1224.4046	469.9346	607.0121	341.7623	1308.1424	669.7003	644.1364	648.5153	1292.0442	182.3442	1871.2901	456.2458	592.5053	530.3977	568.9541	562.3729	205.1848	546.0057	312.2597	757.2248	1241.63	642.7116	576.3201	1047.1521	601.0196	305.9083	585.7179	799.8587	651.8412	984.6556	1413.375	1271.0386	682.2905	343.1326	
ARGSYN-PWY	19792.9428	22245.0561	17855.8136	21589.8557	22234.6493	16274.1705	35676.0536	48245.4213	11181.1706	14234.2139	24400.7684	16631.2998	12759.4862	17237.7276	16154.4299	17242.9015	13522.6905	21207.2648	18917.5603	20246.1133	15201.471	15045.0509	11881.8125	12565.7138	17161.2629	14119.3551	20818.0145	14695.6789	25774.2554	24928.8028	19471.9609	13795.7456	17849.6088	19953.4622	23846.4563	12138.8788	25063.4963	10362.9751	8852.7327	17090.4843	12008.2461	11997.7403	12811.7335	9782.6073	16122.1159	15592.5768	8597.6164	9852.443	11231.869	6121.779	9777.483	10473.1789	7326.24	15912.1739	8727.3612	9517.8374	16971.8702	7465.1889	12655.0549	10972.6163	5382.828	9257.1666	12139.3538	6046.6143	20634.5948	11396.434	6064.308	9571.2243	13276.6064	22650.8179	12744.3986	10315.8719	5811.9068	17204.2156	21930.3514	3636.3498	27603.8929	3233.6086	1270.0311	7714.121	12488.0591	1938.6977	6064.3226	4115.5069	11852.497	3718.6394	8761.6526	2318.858	1606.0996	9647.2995	7854.1354	11121.3789	13541.0154	5057.5702	13435.7282	7954.7368	9110.5831	6246.2646	10476.1847	15693.0456	10701.4894	9406.1935	6088.8411	29225.0047	6259.1979	19765.774	7908.584	9223.5755	9406.4663	8968.4202	8416.0958	3550.6434	9605.1899	9692.2447	10956.6741	16396.4159	9746.4037	9011.026	15510.7606	11991.226	3774.488	9481.6821	9483.5915	7343.698	13130.3308	17085.1688	13203.785	13214.8761	6805.391	
